"ID";"Bezeichner";"Footprint";"Stückzahl";"Bezeichnung";"Anbieter und Referenz";
1;"U1";"ESP32-C3-WROOM-02";1;"ESP32-C3-WROOM-02";;;
2;"SW1,SW6,SW4,SW3,SW2,SW5";"SW_SPST_PTS645";6;"PTS645";;;
3;"C10,C14,C9,C16,C13,C7,C15,C3,C17,C1,C8,C11";"C_0402_1005Metric";12;"C1uF";;;
4;"R3,R2";"R_0402_1005Metric";2;"R5.1k";;;
5;"R10,R4,R5,R13,R1,R12";"R_0402_1005Metric";6;"R10K";;;
6;"D19,D7,D6,D11,D5,D14,D8,D12,D20,D18,D9,D17,D21,D10,D4,D13,D16,D15";"LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm";18;"SK6812";;;
7;"D1";"D_SMA";1;"SS14";;;
8;"R11";"R_0402_1005Metric";1;"R330";;;
9;"Q2";"SOT-23";1;"BSS138";;;
10;"R6,R7,R9,R8";"R_0402_1005Metric";4;"R100K";;;
11;"J2";"JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal";1;"S2B-PH-K-S";;;
12;"Q1";"SOT-23";1;"FDN340P";;;
13;"U3";"TSOT-23-6";1;"TP4057";;;
14;"C2,C5";"C_0402_1005Metric";2;"C10uF";;;
15;"SW7";"SW_Slide_SPDT_Angled_CK_OS102011MA1Q";1;"SLW-1277545-3A-RA-N-D";;;
16;"U2";"SOT-23-5";1;"TLV75533PDYDR";;;
17;"D3";"LED_0402_1005Metric";1;"150040BS73220";;;
18;"J1";"USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal";1;"USB4105";;;
19;"R15";"R_0402_1005Metric";1;"R2K";;;
20;"C4";"C_0402_1005Metric";1;"C2.2uF";;;
21;"R14";"R_0402_1005Metric";1;"R470";;;
22;"D2";"LED_0402_1005Metric";1;"150040VS73220";;;
